Year, Month, Day, Hour, Min, Sec,AcX,AcY,AcZ,GyX,GyY,GyZ
2021, 07, 29, 20, 23, 25.449377,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.451391,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.453394,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.455364,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.457370,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.459374,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.460781,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.462671,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.464504,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.466369,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.467794,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.469369,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.471378,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.473369,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.475368,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.477369,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.479373,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.481369,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.483371,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.484856,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.486371,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.488430,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.490373,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.492371,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.493925,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.495635,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.497536,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.499370,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.500370,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.502370,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.504521,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.506370,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.508374,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.509367,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.511370,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.513402,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.515467,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.517370,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.519372,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.521383,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.522574,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.524657,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.526481,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.528432,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.530370,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.531769,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.533367,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.535369,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.537575,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.539374,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.541404,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.543374,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.544753,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.546375,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.548371,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.550374,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.552369,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.554369,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.556369,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.558370,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.560388,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.562368,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.563377,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.565559,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.567388,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.569369,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.571368,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.573367,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.575376,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.577371,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.579370,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.581366,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.582368,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.584535,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.586372,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.588376,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.590365,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.592373,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.593369,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.595374,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.597677,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.599378,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.602368,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.604367,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.605850,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.607635,-6744,9240,10388,-2416,-720,160
2021, 07, 29, 20, 23, 25.609381,-6744,9240,10388,-2416,-720,160
